labels,titles
clickbait,Yoshi Sudarso-Julie Estelle Ngopi-ngopi demi Chemistry
no,Pulau Hiri di Ternate Dideklarasikan sebagai Pulau Layak Anak
clickbait,"Asian Games, Waktunya Wisata Belanja di 10 Pusat Belanja Jakarta"
clickbait,"Konsumsi Daging Merah dan Keju Bisa Menyehatkan Jantung, Asal.."
clickbait,"Saksi Roro Fitria Ditolak, Kuasa Hukum Akui Ada Kesalahan"
clickbait,5 PTN Paling Diminati di SBMPTN 2018
clickbait,KPK Bawa 2 Koper seusai Geledah Sekretariat DPAC PKB di Malang
clickbait,Makna Kaldron Api di Gelora Bung Karno...
clickbait,Luhut: Perang Dagang Membuat Indonesia Berbenah
clickbait,"Milla Belum Datang, Bima Sakti dan Danurwindo Jadi Pelatih Interim"
no,Pembangunan Rel Ganda Sukabumi-Bogor Terkendala Pembayaran Uang Kerahiman Lahan
no,Imunisasi MR di Teluk Bintuni Capai 100 Persen
clickbait,Mengapa Pengguna Android Pindah ke iOS dan Sebaliknya?
clickbait,"Boeing 747 Pensiun, Ini 5 Pesawat Pengganti yang Diincar Maskapai"
clickbait,Trump Ancam Cabut Keanggotaan AS dari WTO
clickbait,"Lirik B20, Salim Ivomas Pratama Masih Pertimbangkan Investasi"
clickbait,Olahraga Kardio Ternyata Juga Bermanfaat bagi Otak
clickbait,Polisi Bakal Cari Mobil dengan Pengganti Pelat Nomor Otomatis
clickbait,Rasa Lama Suasana Baru di HR-V Spesial Edition
no,"Imbas Ganjil-Genap, Kecepatan Rata-rata Naik 44,08 Persen"
clickbait,Ahmad Albar Kuburkan Sendiri Jenazah Putranya
clickbait,Alibaba Tawarkan Pengalaman Berbelanja Serba Canggih
clickbait,"Tips ""Skincare"" untuk Bersihkan Komedo di Hidung"
no,Progres Jalan Nasional di Perbatasan Timor Leste Sesuai Rencana
clickbait,Harga Pocophone F1 di Erafone Dipatok Lebih Mahal
no,Jaksa Kukuh Tetap Tuntut Dhawiya Zaida 2 Tahun Rehabilitasi
clickbait,Poco F1 Besutan Xiaomi Belum Masuk Radar Ancaman Bagi Oppo
clickbait,Viar Juga Menanti Jokowi Terbitkan Perpres EV
no,NBA Bebaskan Pemain Pilih Sepatu Paling Keren Saat Pertandingan
no,OJK Fasilitasi Industri Pariwisata
clickbait,Bawaslu Mengaku Tak Bisa Panggil Paksa Andi Arief
clickbait,"Selain Lokasi Asian Games 2018, Ini Fakta Menarik Kota Palembang"
clickbait,6 Tanda Kita Memakai Terlalu Banyak Produk Perawatan Kulit
clickbait,Prototipe iPhone Langka Dijual Ratusan Juta Rupiah
clickbait,Menteri PPN: Jangan Sampai Indonesia Seperti Venezuela
no,Kemenristek: Pendidikan Jadi Penentu Daya Saing Global
no,Perwira Menengah Polri Dilaporkan Culik Advokat di Palembang
no,Indonesia Jadi Pasar Pesawat ATR Terbesar di Asia Pasifik
clickbait,"Shanghai Tower, Bangunan Tertinggi dengan ""Damper"""
clickbait,Politisi PDI-P: Di Mana Salahnya jika TNI-Polri Sampaikan Capaian Pemerintah?
no,Menteri Susi Dapat Gelar Kehormatan dari Warga Dayak Kenyah
clickbait,Untuk Pertama Kali Kevin Sanjaya Menangis Usai Pertandingan
no,"Inalum Akan Bangun ""Green and Smart Building"" di Kuala Tanjung"
clickbait,"Perawatan Wajah Pria, Apa Produknya?"
clickbait,"Bakal Sengit, Pesta Kustom Motor Suryanation Melipir ke Pulau Dewata"
no,Cara 4 Kota Dunia Perangi Polusi
clickbait,Fosil Berusia 50.000 Tahun Ini Punya Orangtua dari Dua Spesies Berbeda
clickbait,"Suasana bak Eropa, Wisatawan Kali Besar Diklaim Meningkat"
clickbait,Atap Gereja Bersejarah di Italia Runtuh
no,"Imbas Ganjil-Genap, Kecepatan Rata-rata Naik 44,08 Persen"
no,Jadwal Babak 16 Besar Sepak Bola Putra Asian Games 2018
no,Diplomasi Budaya lewat Darmasiswa
clickbait,KPK Sebut Seorang Pejabat Laporkan Gratifikasi Tiket Asian Games
clickbait,Kisah di Balik Tata Rias 3.500 Pengisi Acara pembukaan Asian Games
no,Golkar Bantah Ada Aliran Dana Korupsi untuk Munaslub 2017
clickbait,Ini Promo Tiket Pesawat di Garuda Indonesia Online Travel Fair
clickbait,"Didorong Harga BBM, Inflasi 2019 Diramal 4,5 Persen"
no,"Line Indonesia Gelar Kompetisi Kreasi Konten, Mulai dari Stiker hingga Video"
clickbait,"Berkat Lagu Telur Dadar, Anak Anji Bersaing dengan Erwin Gutawa"
no,Kosmetik Martinez Perkaya Produknya dengan Bahan Natural
clickbait,Katanya Pengemudi Wanita Lebih Baik Dibanding Pria
clickbait,6 Hal yang Tidak Seharusnya Dilakukan Oleh Kekasihmu
clickbait,"Shimao, Kota Berusia 4.300 Tahun di China yang Makmur dan Barbar"
clickbait,"Frustrasi Ingin Kawin, Zafar Si Lumba-lumba Lampiaskan Hasrat ke Turis"
no,Ertiga Diesel Bisa Konsumsi Solar B20
clickbait,Bos Amazon Bocorkan 4 Ciri-ciri Bisnis yang Akan Sukses
clickbait,"""Percuma Punya Uang Banyak, Tapi Keluarga Tak Bahagia"""
clickbait,"Tawuran Pelajar SMK di Bekasi, 1 Orang Tewas hingga Aksi Balas Dendam"
clickbait,5 Obyek Wisata Pilihan di Kota Medan
no,"Setelah 2 Bulan Program AEoI, Petugas Bisa Lacak Wajib Pajak Nakal"
no,Jaksa Agung Apresiasi KPK Tangkap Hakim PN Medan
clickbait,"Infiniti Dibiarkan ""Mati Suri"" di Indonesia"
no,Polisi Sudah Periksa 80 Saksi Terkait Dugaan Korupsi Mantan Wali Kota Depok Nur Mahmudi
no,Indro Warkop Siap Jual Rumah untuk Pengobatan Istrinya
clickbait,"Bonus Asian Games 2018 Cair Pekan Depan, Ini Besarannya"
clickbait,Kenali Gejala Rabies dan Penanganannya
no,6 Tips Perawatan Rambut Pria Agar Tetap Sehat dan Kuat
clickbait,Aplikasi Keyboard Gboard Kini Bisa Bikin Stiker dari Selfie
clickbait,Menyisir Pantai Lhok Puuk...
no,"Jasa Pengataran Online Pangkas Biaya Produksi UKMKM hingga 30,3 Persen"
no,Minuman Teh Cocok Jadi Pendamping Hidangan Kue Bulan
no,"SK Pensiun Mantan Wali Kota Belum Keluar, DKI Koordinasi dengan BKN"
no,Citilink Berikan Diskon 25 Persen untuk Lansia dan Anak-anak
clickbait,"Kaya Probiotik, Bakteri Tinja Bayi Bantu Pencernaan Lebih Sehat"
clickbait,Ini Bagian Kambing yang Bisa Diolah Jadi Santapan Lezat
clickbait,The Big Start Indonesia: Kemasan yang Menarik Penting Untuk Sebuah Produk
no,"Rika Wijayanti, Atlet Pertama Indonesia Raih 3 Medali Asian Games 2018"
clickbait,"Disfungsi Ereksi Menyerang Banyak Pria, Kenali Tandanya"
clickbait,"Pecahkan Rekor, Wabah Campak di Eropa Capai Jumlah Kasus Terbanyak"
clickbait,Pemilik Kendaraan Ternyata Puas Servis di Bengkel Resmi
clickbait,"Terpopuler: Sudah 4 Tahun, Apartemen K2 Park Tak Kunjung Dibangun"
clickbait,"Pecah Rekor, Harga Saham Amazon Capai Rp 29 Juta Per Lembar"
no,ICW Desak Penanganan Kasus Korupsi Kepala Daerah Terpilih Dipercepat
clickbait,"Kadis SDA Jadi Tersangka, Ini Kata Anies"
clickbait,Festival Pesona Danau Limboto Dorong Kawasan Pinggiran Melek Wisata
clickbait,"Bertato, Posan Tobing Tolak Disamakan dengan Pemakai Narkoba"
clickbait,Mario G Klau Hibur Ribuan Pengunjung Festival Crossborder Malaka 2018
no,Aftech Bakal Sertifikasi Tim Penagih Utang Fintech
no,"Bulu Tangkis Asian Games, Marcus/Kevin Lolos ke Perempat Final"
no,Detail Supercar Honda NSX Model Terbaru
clickbait,"Ahli Jepang Sebut Kita Tinggal di Galaksi ""Zombie"""
clickbait,"LG Perkenalkan G7 One, Smartphone Android One Pertamanya"
clickbait,"Tren Tidak Sehat di Kalangan YouTuber, Dibayar untuk Jatuhkan Kompetitor"
no,"Keroyok dan Bacok Nelayan yang Sedang Memukat, Dua Warga Diamankan Polisi"
clickbait,"Sesuai Instruksi Jokowi, Bonus Atlet Asian Games Akan Cair Lebih Cepat"
clickbait,Trump Ancam Cabut Keanggotaan AS dari WTO
clickbait,"Penemuan yang Mengubah Dunia: Medali, Dulu Hadiah Politik Kini Atletik"
clickbait,Ponsel Vivo V11 Pro Dipastikan Masuk Indonesia
no,BRI Life Salurkan Bantuan untuk Korban Gempa Lombok
no,"Lay EXO dan NCT 127 Terlibat Album ""Tribute"" bagi Michael Jackson"
no,Festival Musik Invasion 2018 Usung Tema Revolusi Industri Abad ke-19
clickbait,Mengulik 5 Mitos di Dunia Pendidikan Indonesia
clickbait,"Lalu Muhammad Zohri dkk Masuk Final, Ini Komentar Sang Pelatih"
clickbait,Kenapa Sate Menggunakan Arang Lebih Nikmat?
clickbait,Roma Minta Madrid Hormati Manolas yang Singkirkan Barca
clickbait,Telegram Ubah Kebijakan Privasi untuk Usik Teroris
clickbait,Artotel Group Buka Hotel Baru di Bandung
clickbait,Galaxy Note 8 Bersanding dengan “iPhone 2018” dalam Video
clickbait,"BERITA POPULER JABODETABEK: Kadis SDA Tersangka, Pelat Mobil Berganti Otomatis, hingga Grand Livina Diamuk Massa"
clickbait,Fahri Hamzah Sesalkan PKS Tak Membela Nur Mahmudi
clickbait,Jonatan Christie Harap Selebrasi Buka Bajunya Tidak Disalahgunakan
no,Twitter Bikin Daftar Akun yang Layak Di-unfollow
clickbait,Cerita Pimpinan KPK yang Juga Dapat Tiket Asian Games...
clickbait,6 Hal yang Harus Diperhatikan saat Nonton The British Circus
clickbait,"Luhut: Masyarakat Sekitar Bandara Kulon Progo Jangan Hanya Dijadikan ""Security"""
clickbait,"Berkendara Mobil Pakai Sandal, Berujung Malapetaka"
no,OCA Surati Inasgoc untuk Batasi Kursi Undangan Asian Games
clickbait,"Super Store Asian Games, Boneka Maskot Jadi Incaran Utama"
clickbait,Ban Baru Goodyear untuk Jalan Basah
clickbait,"Oppo Indonesia: F9 Rilis, F7 Tinggal Nunggu Habis"
clickbait,Tim MotoGP Asal Malaysia Resmi Perkenalkan Diri
no,Pengusaha Minta Pemerintah Hati-hati Naikkan PPh Impor
clickbait,7 Tanda Anak Kurang Perhatian dan 3 Langkah Menghadapinya
no,Kemenperin Dorong Pengembangan V-Belt Skutik Berkualitas
clickbait,PSI Merasa Dirugikan dengan Munculnya Spanduk Partai Itu di Pagar Bawaslu
clickbait,Harapan dan Berbagai Peristiwa di Hari Konservasi Nasional 2018
no,"Ganjil-Genap Diperpanjang, kecuali di Jalan Metro Pondok Indah dan Benyamin Sueb"
clickbait,"Kalahkan UMJ, UNJ Pertahankan Gelar"
clickbait,5 Hal yang Bikin Kamu Sulit Dapat Jodoh...
clickbait,"Cakep, di Kompetisi Daya Ingat Dunia Pelajar Indonesia Raih Juara 2"
clickbait,"Xiaomi Akui Ada ""Bug"" di Kamera Pocophone F1, Ini Cara Mengatasinya"
clickbait,"Jagoan Kalah Pilkades, Sekelompok Warga Merusak Kantor Desa Cibarusah, Bekasi"
clickbait,Honda Pertanyakan Kejelasan DP Nol
clickbait,BERITA POPULER: Emas Jojo dan Marcus/Kevin hingga Curhat Sandiaga Uno
clickbait,Target Baru Paralayang Indonesia Setelah Sumbang 2 Medali Emas
clickbait,Platini Bingung Ronaldo Belum Pensiun dan Pindah ke Juventus
clickbait,Wizzy Bangga Hibur Presiden Jokowi dan Tamu Negara di Istana Bogor
no,Sanur Village Festival 2018 Tampilkan Seni Tradisional dan Modern
clickbait,Mengenal 7 Pendekar Golongan Hitam dalam Film Wiro Sableng
clickbait,"Palsukan KTP Calon Tenaga Kerja, Seorang Warga Dibekuk Polisi"
clickbait,Peserta Kirab Pemuda 2018 Ditempa di Cibubur
clickbait,Polisi Tangkap Dua Pelaku Pembakar Lahan di Riau
no,"Kejar Target Operasi Awal 2019, JSB Kebut Proyek Tol Batang-Semarang"
no,AS Ancam Bakal Serang Suriah jika Assad Pakai Senjata Kimia
clickbait,Model Tas 'Petite' Jadi Idola Baru Pecinta Fesyen
no,Tim Estafet Atletik Dipertahankan Hingga Olimpiade 2020
clickbait,Toyota Indonesia Tularkan Budaya Industri ke Sekolah
clickbait,"Kolaborasi Adidas UltraBoost x BAPE, Seperti Apa Jadinya?"
clickbait,"Penonton Penutupan Asian Games Diperkirakan Lebih Banyak, Polisi Tambah Personel"
clickbait,Warga Australia Gempar Lihat Bola Api Raksasa Melintas di Langit
clickbait,Menengok Mewahnya Bungker 15 Lantai
clickbait,China Meradang Disebut Trump Biang Kegagalan Kunjungan ke Korut
clickbait,Harga Pocophone F1 di Erafone Dipatok Lebih Mahal
clickbait,Seberapa Parah Ketimpangan Ekonomi di Indonesia?
clickbait,"Waspadai, 2 Jenis Perselingkuhan yang Kerap Terjadi dalam Pernikahan"
clickbait,"Tak Hanya Pernapasan, Polusi Udara Juga Mengancam Ginjal Kita"
no,Pekan Raya Indonesia Hadirkan Clothing Distro 80 Merek Lokal
no,Menteri BUMN Resmikan 16 Proyek Strategis di Kawasan Indonesia Timur
no,Tokopedia Dikabarkan Pecat Puluhan Karyawan Terkait Kecurangan Flash Sale
clickbait,Ben Affleck Terancam Batal Perankan Batman karena Masalah Asuransi
clickbait,"Penyintas: ""Survivor"" Kanker adalah Orang Istimewa"
clickbait,"Ikan Mati di Danau Toba Mencapai 180 Ton, Ini Penyebabnya..."
clickbait,Maxime Bouttier Tak Ajak Prilly Latuconsina Main Film yang Disutradarainya
clickbait,"Berkesempatan ke Dubai, Coba Jelajahi Lokasi Film-film Hollywood Ini"
no,Pengelola Kawasan Industri MM2100 Tanam 13.000 Pohon Mangrove
no,Stasiun LRT Velodrome Akan Terintegrasi dengan Halte Transjakarta
no,Rossi Coba Optimis Balapan di Inggris
clickbait,6 Pilihan Rasa Kue Bulan Bisa Coba di Restoran Ini...
clickbait,"""Jebret!"", Mumpung Asian Games Ajarkan 6 Hal Ini pada Anak"
clickbait,Sektor-sektor Industri Ini Paling Terimbas Pelemahan Rupiah
no,114 Penampil Akan Meriahkan Synchronize Fest 2018
no,Kolaborasi Tak Pengaruhi Solo Karier Sheryl Sheinafia
clickbait,Pria Bermasker Minta Petugas Hotel Tak Bersihkan Kamar WN China yang Ditemukan Tewas
clickbait,Desa di Selandia Baru Bakal Larang Warganya Pelihara Kucing
no,PSSI Minta Luis Milla Bentuk Kerangka Timnas Sebelum 11 September
no,Polisi Tangkap 3 Mahasiswa yang Diduga Jual Narkoba ke THL Kecamatan di Tangerang
no,Balenciaga Rilis Parka 7 Lapis dengan Harga Rp 115 Juta
no,Polisi Sarankan Perluasan Ganjil-Genap Tetap Berlanjut
clickbait,"Tak Hanya Rupiah, Mata Uang Negara-negara Ini Juga Anjlok"
clickbait,"Pemerintah Kaji 900 Komoditas Impor, Pengusaha Deg-degan"
clickbait,"Ini Definisi Sukses ala Bill Gates, Warren Buffett dan Richard Branson"
no,"Demi MotoGP, Sirkuit Silverstone Harus Diaspal Lagi"
no,"Klasemen Perolehan Medali Asian Games 2018, Indonesia Ke-4"
clickbait,"Bikin Film Horor, Raffi Ahmad Akui Biayanya Membengkak"
clickbait,Donghae dan Eunhyuk Suju Terserang Demam Goyang Dayung ala Jokowi
no,DFSK Glory 580 Jadi Mobil Favorit di GIIAS Makassar
clickbait,"Kemenkeu Sebut Impor Tak Dibatasi, Hanya Dikendalikan"
no,Harga Motor Mulai Kena Dampak Dollar AS
clickbait,Nikita Mirzani Mengaku Cuma Terima Nafkah Rp 50 Juta dari Dipo Latief
no,Bunga Nyimas Jadi Atlet Termuda Peraih Medali di Asian Games 2018
clickbait,Ekonomi AS Diprediksi Melambat akibat Terpukul Perang Dagang
clickbait,"Luncurkan ""Harga Teman"", Giant Turunkan Harga 600 Produk"
clickbait,Mengapa Iklan Makanan Cepat Saji Lebih Menggoda dari Aslinya
clickbait,Benarkah Disfungsi Ereksi Ada Kaitannya dengan Andropause?
no,Mahasiswi Korban Begal di Bandung Akhirnya Meninggal Dunia
clickbait,"Bantu Lombok, Sogi Indra Dhuaja Dihargai Rp 10.000 Per Satu Kali Push Up"
no,LG Luncurkan TV OLED Resolusi 8K Pertama di Dunia
no,"Jokowi: Presiden Disuruh Akrobat Seperti Itu, Ya Gila Bro"
clickbait,"Beri Jasa Pelukan, Wanita Ini Hasilkan Puluhan Juta"
no,"Estimasi Penjualan Perdana Pocophone F1, 68.000 Unit dalam 5 Menit"
clickbait,"Jangan Remehkan, Liburan Bisa Turunkan Risiko Kematian"
clickbait,Warga Jakarta Bisa Menumpang MRT Rp 144 Miliar Maret 2019
clickbait,"Demi Nonton Paramore, Audy Item Titipkan Anak ke Keluarga"
no,Sistem Ganjil-Genap Dinilai Meringankan Kerja Polantas
no,27 Ton Bawang Selundupan dari Malaysia Dihibahkan pada Masyarakat
clickbait,Mayat Tanpa Kepala dan Lengan Ditemukan Dalam Akuarium di Rumah Kosong
clickbait,Layanan Bengkel Berjalan Honda Motor
clickbait,Penjelasan Ilmiah dari Video Semut Memakamkan Lebah
clickbait,"Kelak, Meghan dan Harry Tak Dapat Memiliki Hak Asuh atas Anak-Anaknya"
clickbait,"Bukti Baru, Kebiasaan Merokok Elektrik Bisa Picu Kanker"
no,Jarak dengan Sarana Transportasi Umum Jadi Pertimbangan Pencari Rumah
clickbait,"Xpander Versi Nissan Lahir Awal 2019, Mitsubishi Pilih Bungkam"
clickbait,"Uang Penggantian Sudah Dipakai Warga Naik Haji, tetapi Jalan Nangka Belum Juga Dilebarkan..."
no,Facebook Watch Kini Tersedia di Seluruh Dunia
clickbait,"Ratusan Stok Brio Lawas Mulai ""Banting Harga"""
clickbait,Bocah Telantar di Stasiun Manggarai karena Dibawa Lari Pamannya
clickbait,"Akhir Pekan, Yuk Tonton ""Putri Duyung"" di Jakarta Aquarium"
no,Biro Hukum DKI Siap Dampingi Kadis SDA Hadapi Proses Hukumnya
no,Dishub DKI Sebut Para Ahli Setuju Kebijakan Ganjil-Genap Dilanjutkan
clickbait,Kelambanan Selamatkan Siput dari Kepunahan
no,Toyota Perluas Layanan di Tangerang dan Bekasi
clickbait,Apple Masih Cari Nama untuk iPhone Keluaran 2018
no,Menko Darmin: Pelemahan Rupiah Terus-menerus Bisa Picu Inflasi
no,CEO Tokopedia Akui 49 Barang Dicurangi Pegawai saat Flash Sale
clickbait,"REC, Menyatukan Komponen Mobil Ikonik dalam Arloji"
no,"1 September, Kawasaki Fest Day Hadir di Makassar"
clickbait,Dewi Perssik Tolak Tawaran Dua Rumah Produksi demi Raffi Ahmad
clickbait,"Ahli Sebut Minyak Kelapa Sebagai Racun Murni, Benarkah?"
clickbait,"Hasil Liga Champions, Ada 2 Wakil Belanda di Fase Grup"
clickbait,"Klasemen Perolehan Medali Asian Games 2018, Indonesia Tak Tergeser"
no,"Perolehan Medali Asian Games 2018, Raihan Terbaik Indonesia sejak 1978"
clickbait,Ratusan Warga Ikut Bhakti Sosial Rail Clinic di Stasiun Kradenan
clickbait,"Terungkap, Ini Jurus Jitu Buat Anda Lebih Produktif..."
no,"Bangun Rumah Tahan Gempa di Lombok, Pemerintah Terjunkan 400 Insinyur"
clickbait,"Setelah 60 Tahun, Karaginan Sukses Diubah Jadi Obat Masuk Angin Ampuh"
no,"8 Anak Terjangkit Campak dan Rubella, Wali Kota Padang Minta Vaksin MR Dikampanyekan"
clickbait,Mukhib Raih Emas Downhill Asian Games karena Matang di Kompetisi
clickbait,"Klasemen Perolehan Medali Asian Games 2018, Emas Terbanyak Indonesia"
no,Pertamina Segera Alih Kelola WK Southeast Sumatera
clickbait,"Teluk Pamoi, Air Sebening Kaca sampai Kisah Perang Dunia II"
clickbait,Apa Kabar MotoGP Indonesia di Sirkuit Sentul?
clickbait,Empat Seniman Indonesia Bangun Instalasi Seni di Liverpool
clickbait,Ini Rasa Kue Bulan yang Paling Diminati
clickbait,"PBB: Ketimbang Jadi Jubir Militer, Suu Kyi Sebaiknya Mundur"
no,Gitar Menteri Hanif Laku Rp 1 Miliar pada Konser Amal NTB
no,Mourinho Dukung Aksi Suporter Tinggalkan Stadion Saat Man United Kalah
no,Hakim Tolak Ibunda Roro Fitria Jadi Saksi di Persidangan
clickbait,Ini Spesifikasi dan Harga Oppo F9 di Indonesia
clickbait,Berita Populer: 3 Keluarga Terkaya hingga Tokopedia Pecat Karyawan Curang
clickbait,Hindari Menulis Ini di Tanda Pengenal Koper
no,Kadin Namibia Berharap Investor Indonesia Berinvestasi di Negaranya
no,Penghargaan Nobel Perdamaian Aung San Suu Kyi Tak Akan Dicabut
clickbait,"Promosi di Singapura, BI Genjot Investasi Pariwisata di Daerah"
no,Gubernur BI: Inflasi Agustus 2018 Rendah
no,"Bersejarah, AOV Jadi Game Pertama Pertandingan eSports di Asian Games"
no,"Jual Amunisi ke KKB, Polisi Amankan WNA Asal Polandia di Papua"
